subsector,variable,variable_trajectory_group,variable_trajectory_group_trajectory_type,normalize_group,trajgroup_no_vary_q,uniform_scaling_q,min_35,max_35,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
IPPU,demscalar_ippu_cement,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_chemicals,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_construction_and_demolition,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_electronics,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_glass,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_lime_and_carbonite,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_metals,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_non_energy_products,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_ods_products,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_other_industries,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_other_product_manufacturing,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_paper,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_plastic,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_glass,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_metals,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_paper,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_plastic,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_rubber_and_leather,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_textiles,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_recycled_wood,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_rubber_and_leather,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,demscalar_ippu_textiles,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_ch4_per_tonne_production_chemicals,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_ch4_per_tonne_production_metals,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_ch4_per_tonne_production_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_ch4_per_tonne_production_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_ch4_per_tonne_production_recycled_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_ch4_per_tonne_production_recycled_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_mmm_gdp_non_energy_products,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_cement_clinker,,,,,,0.8,1.2,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_chemicals,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_glass,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_lime_and_carbonite,,,,,,0.75,1.15,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_metals,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_recycled_glass,,,,,,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_recycled_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_co2_per_tonne_production_recycled_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_hfc134a_per_tonne_production_chemicals,,,,,,0.8,1.2,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05
IPPU,ef_ippu_tonne_hfc134a_per_tonne_production_electronics,,,,,,0.8,1.2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
IPPU,ef_ippu_tonne_hfc134a_per_tonne_production_metals,,,,,,0.8,1.2,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
IPPU,ef_ippu_tonne_hfc134a_per_tonne_production_ods_products,,,,,,0.8,1.2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
IPPU,ef_ippu_tonne_hfc23_per_tonne_production_chemicals,,,,,,0.8,1.2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
IPPU,ef_ippu_tonne_hfc23_per_tonne_production_electronics,,,,,,0.8,1.2,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
IPPU,ef_ippu_tonne_hfc23_per_tonne_production_ods_products,,,,,,0.8,1.2,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05,2E-05
IPPU,ef_ippu_tonne_hfc23_per_tonne_production_other_product_manufacturing,,,,,,0.8,1.2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
IPPU,ef_ippu_tonne_n2o_per_mmm_gdp_other_product_manufacturing,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_n2o_per_tonne_production_chemicals,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_n2o_per_tonne_production_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_n2o_per_tonne_production_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_n2o_per_tonne_production_recycled_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_n2o_per_tonne_production_recycled_plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPU,ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_sf6_per_tonne_production_chemicals,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_sf6_per_tonne_production_chemicals,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_sf6_per_tonne_production_electronics,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,ef_ippu_tonne_sf6_per_tonne_production_electronics,,,,,,0.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IPPU,elasticity_ippu_cement_production_to_gdp,,,,,,0.8,1.2,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181,0.056947487651181
IPPU,elasticity_ippu_chemicals_production_to_gdp,,,,,,0.8,1.2,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232,0.109927728802232
IPPU,elasticity_ippu_electronics_production_to_gdp,,,,,,0.8,1.2,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166,0.046761620588166
IPPU,elasticity_ippu_glass_production_to_gdp,,,,,,0.8,1.2,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702,0.040684381814702
IPPU,elasticity_ippu_lime_and_carbonite_production_to_gdp,,,,,,0.8,1.2,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865,0.02403125339865
