Year,Nation,ef_agrc_biomassburning_pulses_kg_n2o_ha,units
2019,argentina,1.8,kg_n2o/ha
2019,bahamas,1.8,kg_n2o/ha
2019,barbados,1.8,kg_n2o/ha
2019,belize,1.8,kg_n2o/ha
2019,bolivia,1.8,kg_n2o/ha
2019,brazil,1.8,kg_n2o/ha
2019,chile,1.8,kg_n2o/ha
2019,colombia,1.8,kg_n2o/ha
2019,costa_rica,1.8,kg_n2o/ha
2019,dominican_republic,1.8,kg_n2o/ha
2019,ecuador,1.8,kg_n2o/ha
2019,el_salvador,1.8,kg_n2o/ha
2019,guatemala,1.8,kg_n2o/ha
2019,guyana,1.8,kg_n2o/ha
2019,haiti,1.8,kg_n2o/ha
2019,honduras,1.8,kg_n2o/ha
2019,jamaica,1.8,kg_n2o/ha
2019,mexico,1.8,kg_n2o/ha
2019,nicaragua,1.8,kg_n2o/ha
2019,panama,1.8,kg_n2o/ha
2019,paraguay,1.8,kg_n2o/ha
2019,peru,1.8,kg_n2o/ha
2019,suriname,1.8,kg_n2o/ha
2019,trinidad_and_tobago,1.8,kg_n2o/ha
2019,uruguay,1.8,kg_n2o/ha
2019,venezuela,1.8,kg_n2o/ha
2018,argentina,1.8,kg_n2o/ha
2018,bahamas,1.8,kg_n2o/ha
2018,barbados,1.8,kg_n2o/ha
2018,belize,1.8,kg_n2o/ha
2018,bolivia,1.8,kg_n2o/ha
2018,brazil,1.8,kg_n2o/ha
2018,chile,1.8,kg_n2o/ha
2018,colombia,1.8,kg_n2o/ha
2018,costa_rica,1.8,kg_n2o/ha
2018,dominican_republic,1.8,kg_n2o/ha
2018,ecuador,1.8,kg_n2o/ha
2018,el_salvador,1.8,kg_n2o/ha
2018,guatemala,1.8,kg_n2o/ha
2018,guyana,1.8,kg_n2o/ha
2018,haiti,1.8,kg_n2o/ha
2018,honduras,1.8,kg_n2o/ha
2018,jamaica,1.8,kg_n2o/ha
2018,mexico,1.8,kg_n2o/ha
2018,nicaragua,1.8,kg_n2o/ha
2018,panama,1.8,kg_n2o/ha
2018,paraguay,1.8,kg_n2o/ha
2018,peru,1.8,kg_n2o/ha
2018,suriname,1.8,kg_n2o/ha
2018,trinidad_and_tobago,1.8,kg_n2o/ha
2018,uruguay,1.8,kg_n2o/ha
2018,venezuela,1.8,kg_n2o/ha
2017,argentina,1.8,kg_n2o/ha
2017,bahamas,1.8,kg_n2o/ha
2017,barbados,1.8,kg_n2o/ha
2017,belize,1.8,kg_n2o/ha
2017,bolivia,1.8,kg_n2o/ha
2017,brazil,1.8,kg_n2o/ha
2017,chile,1.8,kg_n2o/ha
2017,colombia,1.8,kg_n2o/ha
2017,costa_rica,1.8,kg_n2o/ha
2017,dominican_republic,1.8,kg_n2o/ha
2017,ecuador,1.8,kg_n2o/ha
2017,el_salvador,1.8,kg_n2o/ha
2017,guatemala,1.8,kg_n2o/ha
2017,guyana,1.8,kg_n2o/ha
2017,haiti,1.8,kg_n2o/ha
2017,honduras,1.8,kg_n2o/ha
2017,jamaica,1.8,kg_n2o/ha
2017,mexico,1.8,kg_n2o/ha
2017,nicaragua,1.8,kg_n2o/ha
2017,panama,1.8,kg_n2o/ha
2017,paraguay,1.8,kg_n2o/ha
2017,peru,1.8,kg_n2o/ha
2017,suriname,1.8,kg_n2o/ha
2017,trinidad_and_tobago,1.8,kg_n2o/ha
2017,uruguay,1.8,kg_n2o/ha
2017,venezuela,1.8,kg_n2o/ha
2016,argentina,1.8,kg_n2o/ha
2016,bahamas,1.8,kg_n2o/ha
2016,barbados,1.8,kg_n2o/ha
2016,belize,1.8,kg_n2o/ha
2016,bolivia,1.8,kg_n2o/ha
2016,brazil,1.8,kg_n2o/ha
2016,chile,1.8,kg_n2o/ha
2016,colombia,1.8,kg_n2o/ha
2016,costa_rica,1.8,kg_n2o/ha
2016,dominican_republic,1.8,kg_n2o/ha
2016,ecuador,1.8,kg_n2o/ha
2016,el_salvador,1.8,kg_n2o/ha
2016,guatemala,1.8,kg_n2o/ha
2016,guyana,1.8,kg_n2o/ha
2016,haiti,1.8,kg_n2o/ha
2016,honduras,1.8,kg_n2o/ha
2016,jamaica,1.8,kg_n2o/ha
2016,mexico,1.8,kg_n2o/ha
2016,nicaragua,1.8,kg_n2o/ha
2016,panama,1.8,kg_n2o/ha
2016,paraguay,1.8,kg_n2o/ha
2016,peru,1.8,kg_n2o/ha
2016,suriname,1.8,kg_n2o/ha
2016,trinidad_and_tobago,1.8,kg_n2o/ha
2016,uruguay,1.8,kg_n2o/ha
2016,venezuela,1.8,kg_n2o/ha
2015,argentina,1.8,kg_n2o/ha
2015,bahamas,1.8,kg_n2o/ha
2015,barbados,1.8,kg_n2o/ha
2015,belize,1.8,kg_n2o/ha
2015,bolivia,1.8,kg_n2o/ha
2015,brazil,1.8,kg_n2o/ha
2015,chile,1.8,kg_n2o/ha
2015,colombia,1.8,kg_n2o/ha
2015,costa_rica,1.8,kg_n2o/ha
2015,dominican_republic,1.8,kg_n2o/ha
2015,ecuador,1.8,kg_n2o/ha
2015,el_salvador,1.8,kg_n2o/ha
2015,guatemala,1.8,kg_n2o/ha
2015,guyana,1.8,kg_n2o/ha
2015,haiti,1.8,kg_n2o/ha
2015,honduras,1.8,kg_n2o/ha
2015,jamaica,1.8,kg_n2o/ha
2015,mexico,1.8,kg_n2o/ha
2015,nicaragua,1.8,kg_n2o/ha
2015,panama,1.8,kg_n2o/ha
2015,paraguay,1.8,kg_n2o/ha
2015,peru,1.8,kg_n2o/ha
2015,suriname,1.8,kg_n2o/ha
2015,trinidad_and_tobago,1.8,kg_n2o/ha
2015,uruguay,1.8,kg_n2o/ha
2015,venezuela,1.8,kg_n2o/ha
2014,argentina,1.8,kg_n2o/ha
2014,bahamas,1.8,kg_n2o/ha
2014,barbados,1.8,kg_n2o/ha
2014,belize,1.8,kg_n2o/ha
2014,bolivia,1.8,kg_n2o/ha
2014,brazil,1.8,kg_n2o/ha
2014,chile,1.8,kg_n2o/ha
2014,colombia,1.8,kg_n2o/ha
2014,costa_rica,1.8,kg_n2o/ha
2014,dominican_republic,1.8,kg_n2o/ha
2014,ecuador,1.8,kg_n2o/ha
2014,el_salvador,1.8,kg_n2o/ha
2014,guatemala,1.8,kg_n2o/ha
2014,guyana,1.8,kg_n2o/ha
2014,haiti,1.8,kg_n2o/ha
2014,honduras,1.8,kg_n2o/ha
2014,jamaica,1.8,kg_n2o/ha
2014,mexico,1.8,kg_n2o/ha
2014,nicaragua,1.8,kg_n2o/ha
2014,panama,1.8,kg_n2o/ha
2014,paraguay,1.8,kg_n2o/ha
2014,peru,1.8,kg_n2o/ha
2014,suriname,1.8,kg_n2o/ha
2014,trinidad_and_tobago,1.8,kg_n2o/ha
2014,uruguay,1.8,kg_n2o/ha
2014,venezuela,1.8,kg_n2o/ha
2013,argentina,1.8,kg_n2o/ha
2013,bahamas,1.8,kg_n2o/ha
2013,barbados,1.8,kg_n2o/ha
2013,belize,1.8,kg_n2o/ha
2013,bolivia,1.8,kg_n2o/ha
2013,brazil,1.8,kg_n2o/ha
2013,chile,1.8,kg_n2o/ha
2013,colombia,1.8,kg_n2o/ha
2013,costa_rica,1.8,kg_n2o/ha
2013,dominican_republic,1.8,kg_n2o/ha
2013,ecuador,1.8,kg_n2o/ha
2013,el_salvador,1.8,kg_n2o/ha
2013,guatemala,1.8,kg_n2o/ha
2013,guyana,1.8,kg_n2o/ha
2013,haiti,1.8,kg_n2o/ha
2013,honduras,1.8,kg_n2o/ha
2013,jamaica,1.8,kg_n2o/ha
2013,mexico,1.8,kg_n2o/ha
2013,nicaragua,1.8,kg_n2o/ha
2013,panama,1.8,kg_n2o/ha
2013,paraguay,1.8,kg_n2o/ha
2013,peru,1.8,kg_n2o/ha
2013,suriname,1.8,kg_n2o/ha
2013,trinidad_and_tobago,1.8,kg_n2o/ha
2013,uruguay,1.8,kg_n2o/ha
2013,venezuela,1.8,kg_n2o/ha
2012,argentina,1.8,kg_n2o/ha
2012,bahamas,1.8,kg_n2o/ha
2012,barbados,1.8,kg_n2o/ha
2012,belize,1.8,kg_n2o/ha
2012,bolivia,1.8,kg_n2o/ha
2012,brazil,1.8,kg_n2o/ha
2012,chile,1.8,kg_n2o/ha
2012,colombia,1.8,kg_n2o/ha
2012,costa_rica,1.8,kg_n2o/ha
2012,dominican_republic,1.8,kg_n2o/ha
2012,ecuador,1.8,kg_n2o/ha
2012,el_salvador,1.8,kg_n2o/ha
2012,guatemala,1.8,kg_n2o/ha
2012,guyana,1.8,kg_n2o/ha
2012,haiti,1.8,kg_n2o/ha
2012,honduras,1.8,kg_n2o/ha
2012,jamaica,1.8,kg_n2o/ha
2012,mexico,1.8,kg_n2o/ha
2012,nicaragua,1.8,kg_n2o/ha
2012,panama,1.8,kg_n2o/ha
2012,paraguay,1.8,kg_n2o/ha
2012,peru,1.8,kg_n2o/ha
2012,suriname,1.8,kg_n2o/ha
2012,trinidad_and_tobago,1.8,kg_n2o/ha
2012,uruguay,1.8,kg_n2o/ha
2012,venezuela,1.8,kg_n2o/ha
2011,argentina,1.8,kg_n2o/ha
2011,bahamas,1.8,kg_n2o/ha
2011,barbados,1.8,kg_n2o/ha
2011,belize,1.8,kg_n2o/ha
2011,bolivia,1.8,kg_n2o/ha
2011,brazil,1.8,kg_n2o/ha
2011,chile,1.8,kg_n2o/ha
2011,colombia,1.8,kg_n2o/ha
2011,costa_rica,1.8,kg_n2o/ha
2011,dominican_republic,1.8,kg_n2o/ha
2011,ecuador,1.8,kg_n2o/ha
2011,el_salvador,1.8,kg_n2o/ha
2011,guatemala,1.8,kg_n2o/ha
2011,guyana,1.8,kg_n2o/ha
2011,haiti,1.8,kg_n2o/ha
2011,honduras,1.8,kg_n2o/ha
2011,jamaica,1.8,kg_n2o/ha
2011,mexico,1.8,kg_n2o/ha
2011,nicaragua,1.8,kg_n2o/ha
2011,panama,1.8,kg_n2o/ha
2011,paraguay,1.8,kg_n2o/ha
2011,peru,1.8,kg_n2o/ha
2011,suriname,1.8,kg_n2o/ha
2011,trinidad_and_tobago,1.8,kg_n2o/ha
2011,uruguay,1.8,kg_n2o/ha
2011,venezuela,1.8,kg_n2o/ha
