Year,Nation,ef_frst_forestmethane_primary_gg_ch4_ha,Unit,Item
2011,Argentina,3.5482,kilotonnes,Other forest
2012,Argentina,3.5512,kilotonnes,Other forest
2013,Argentina,4.7357,kilotonnes,Other forest
2014,Argentina,0.9909,kilotonnes,Other forest
2015,Argentina,3.8021,kilotonnes,Other forest
2016,Argentina,2.1268,kilotonnes,Other forest
2017,Argentina,2.116,kilotonnes,Other forest
2018,Argentina,1.3883,kilotonnes,Other forest
2019,Argentina,1.7431,kilotonnes,Other forest
2011,Bahamas,0.0745,kilotonnes,Other forest
2012,Bahamas,0,kilotonnes,Other forest
2013,Bahamas,0.0025,kilotonnes,Other forest
2014,Bahamas,0.0646,kilotonnes,Other forest
2015,Bahamas,0.1266,kilotonnes,Other forest
2016,Bahamas,0.1465,kilotonnes,Other forest
2017,Bahamas,0.1018,kilotonnes,Other forest
2018,Bahamas,0,kilotonnes,Other forest
2019,Bahamas,0,kilotonnes,Other forest
2011,Barbados,0,kilotonnes,Other forest
2012,Barbados,0,kilotonnes,Other forest
2013,Barbados,0,kilotonnes,Other forest
2014,Barbados,0,kilotonnes,Other forest
2015,Barbados,0,kilotonnes,Other forest
2016,Barbados,0,kilotonnes,Other forest
2017,Barbados,0,kilotonnes,Other forest
2018,Barbados,0,kilotonnes,Other forest
2019,Barbados,0,kilotonnes,Other forest
2011,Belize,0,kilotonnes,Other forest
2012,Belize,0,kilotonnes,Other forest
2013,Belize,0,kilotonnes,Other forest
2014,Belize,0,kilotonnes,Other forest
2015,Belize,0,kilotonnes,Other forest
2016,Belize,0,kilotonnes,Other forest
2017,Belize,0,kilotonnes,Other forest
2018,Belize,0,kilotonnes,Other forest
2019,Belize,0,kilotonnes,Other forest
2011,Bolivia (Plurinational State of),2.7907,kilotonnes,Other forest
2012,Bolivia (Plurinational State of),5.1771,kilotonnes,Other forest
2013,Bolivia (Plurinational State of),1.4241,kilotonnes,Other forest
2014,Bolivia (Plurinational State of),0.6549,kilotonnes,Other forest
2015,Bolivia (Plurinational State of),0.511,kilotonnes,Other forest
2016,Bolivia (Plurinational State of),2.3611,kilotonnes,Other forest
2017,Bolivia (Plurinational State of),1.9572,kilotonnes,Other forest
2018,Bolivia (Plurinational State of),2.5845,kilotonnes,Other forest
2019,Bolivia (Plurinational State of),28.309,kilotonnes,Other forest
2011,Brazil,6.378,kilotonnes,Other forest
2012,Brazil,4.2762,kilotonnes,Other forest
2013,Brazil,0.4985,kilotonnes,Other forest
2014,Brazil,2.1485,kilotonnes,Other forest
2015,Brazil,3.6144,kilotonnes,Other forest
2016,Brazil,2.2666,kilotonnes,Other forest
2017,Brazil,2.9721,kilotonnes,Other forest
2018,Brazil,1.681,kilotonnes,Other forest
2019,Brazil,3.6748,kilotonnes,Other forest
2011,Chile,3.0987,kilotonnes,Other forest
2012,Chile,2.5198,kilotonnes,Other forest
2013,Chile,0.9738,kilotonnes,Other forest
2014,Chile,2.7586,kilotonnes,Other forest
2015,Chile,10.411,kilotonnes,Other forest
2016,Chile,1.8896,kilotonnes,Other forest
2017,Chile,24.6495,kilotonnes,Other forest
2018,Chile,0.7744,kilotonnes,Other forest
2019,Chile,3.2671,kilotonnes,Other forest
2011,Colombia,0.0644,kilotonnes,Other forest
2012,Colombia,0.6094,kilotonnes,Other forest
2013,Colombia,0.3246,kilotonnes,Other forest
2014,Colombia,0.4238,kilotonnes,Other forest
2015,Colombia,0.4758,kilotonnes,Other forest
2016,Colombia,0.2998,kilotonnes,Other forest
2017,Colombia,0.0595,kilotonnes,Other forest
2018,Colombia,0.3073,kilotonnes,Other forest
2019,Colombia,0.5303,kilotonnes,Other forest
2011,Costa Rica,0,kilotonnes,Other forest
2012,Costa Rica,0.399,kilotonnes,Other forest
2013,Costa Rica,0.1487,kilotonnes,Other forest
2014,Costa Rica,0.052,kilotonnes,Other forest
2015,Costa Rica,0.2751,kilotonnes,Other forest
2016,Costa Rica,0.2924,kilotonnes,Other forest
2017,Costa Rica,0.0991,kilotonnes,Other forest
2018,Costa Rica,0.3123,kilotonnes,Other forest
2019,Costa Rica,0.0743,kilotonnes,Other forest
2011,Dominican Republic,0.0298,kilotonnes,Other forest
2012,Dominican Republic,0.0397,kilotonnes,Other forest
2013,Dominican Republic,0.1513,kilotonnes,Other forest
2014,Dominican Republic,0.1439,kilotonnes,Other forest
2015,Dominican Republic,0.4242,kilotonnes,Other forest
2016,Dominican Republic,0.0124,kilotonnes,Other forest
2017,Dominican Republic,0,kilotonnes,Other forest
2018,Dominican Republic,0,kilotonnes,Other forest
2019,Dominican Republic,0.0645,kilotonnes,Other forest
2011,Ecuador,0.0074,kilotonnes,Other forest
2012,Ecuador,0.6986,kilotonnes,Other forest
2013,Ecuador,0.0223,kilotonnes,Other forest
2014,Ecuador,0.104,kilotonnes,Other forest
2015,Ecuador,0.3419,kilotonnes,Other forest
2016,Ecuador,0.1759,kilotonnes,Other forest
2017,Ecuador,0.0322,kilotonnes,Other forest
2018,Ecuador,0.166,kilotonnes,Other forest
2019,Ecuador,0.3121,kilotonnes,Other forest
2011,El Salvador,0.0025,kilotonnes,Other forest
2012,El Salvador,0.0322,kilotonnes,Other forest
2013,El Salvador,0.3198,kilotonnes,Other forest
2014,El Salvador,0.005,kilotonnes,Other forest
2015,El Salvador,0.3892,kilotonnes,Other forest
2016,El Salvador,0.0124,kilotonnes,Other forest
2017,El Salvador,0.3223,kilotonnes,Other forest
2018,El Salvador,0.0917,kilotonnes,Other forest
2019,El Salvador,0.2727,kilotonnes,Other forest
2011,Guatemala,0.062,kilotonnes,Other forest
2012,Guatemala,0.0967,kilotonnes,Other forest
2013,Guatemala,0.2356,kilotonnes,Other forest
2014,Guatemala,0.0223,kilotonnes,Other forest
2015,Guatemala,0.3149,kilotonnes,Other forest
2016,Guatemala,0.1909,kilotonnes,Other forest
2017,Guatemala,0.4785,kilotonnes,Other forest
2018,Guatemala,0.0744,kilotonnes,Other forest
2019,Guatemala,0.243,kilotonnes,Other forest
2011,Guyana,0.0173,kilotonnes,Other forest
2012,Guyana,0.0198,kilotonnes,Other forest
2013,Guyana,0.0025,kilotonnes,Other forest
2014,Guyana,0.0074,kilotonnes,Other forest
2015,Guyana,0.0818,kilotonnes,Other forest
2016,Guyana,0.0545,kilotonnes,Other forest
2017,Guyana,0.0173,kilotonnes,Other forest
2018,Guyana,0.0223,kilotonnes,Other forest
2019,Guyana,0.0198,kilotonnes,Other forest
2011,Haiti,0,kilotonnes,Other forest
2012,Haiti,0,kilotonnes,Other forest
2013,Haiti,0,kilotonnes,Other forest
2014,Haiti,0,kilotonnes,Other forest
2015,Haiti,0,kilotonnes,Other forest
2016,Haiti,0,kilotonnes,Other forest
2017,Haiti,0,kilotonnes,Other forest
2018,Haiti,0,kilotonnes,Other forest
2019,Haiti,0,kilotonnes,Other forest
2011,Honduras,1.8298,kilotonnes,Other forest
2012,Honduras,0.119,kilotonnes,Other forest
2013,Honduras,0.5876,kilotonnes,Other forest
2014,Honduras,0.9074,kilotonnes,Other forest
2015,Honduras,0.9942,kilotonnes,Other forest
2016,Honduras,1.1008,kilotonnes,Other forest
2017,Honduras,0.5479,kilotonnes,Other forest
2018,Honduras,0.6297,kilotonnes,Other forest
2019,Honduras,0.7637,kilotonnes,Other forest
2011,Jamaica,0,kilotonnes,Other forest
2012,Jamaica,0,kilotonnes,Other forest
2013,Jamaica,0.0025,kilotonnes,Other forest
2014,Jamaica,0.005,kilotonnes,Other forest
2015,Jamaica,0,kilotonnes,Other forest
2016,Jamaica,0,kilotonnes,Other forest
2017,Jamaica,0,kilotonnes,Other forest
2018,Jamaica,0,kilotonnes,Other forest
2019,Jamaica,0,kilotonnes,Other forest
2011,Mexico,25.0373,kilotonnes,Other forest
2012,Mexico,18.1176,kilotonnes,Other forest
2013,Mexico,30.651,kilotonnes,Other forest
2014,Mexico,1.9298,kilotonnes,Other forest
2015,Mexico,7.339,kilotonnes,Other forest
2016,Mexico,16.2885,kilotonnes,Other forest
2017,Mexico,31.6155,kilotonnes,Other forest
2018,Mexico,15.8989,kilotonnes,Other forest
2019,Mexico,37.6365,kilotonnes,Other forest
2011,Nicaragua,0.0471,kilotonnes,Other forest
2012,Nicaragua,0.0025,kilotonnes,Other forest
2013,Nicaragua,0.0149,kilotonnes,Other forest
2014,Nicaragua,0,kilotonnes,Other forest
2015,Nicaragua,0,kilotonnes,Other forest
2016,Nicaragua,0,kilotonnes,Other forest
2017,Nicaragua,0,kilotonnes,Other forest
2018,Nicaragua,0.0025,kilotonnes,Other forest
2019,Nicaragua,0.0992,kilotonnes,Other forest
2011,Panama,0,kilotonnes,Other forest
2012,Panama,0.0025,kilotonnes,Other forest
2013,Panama,0.0025,kilotonnes,Other forest
2014,Panama,0,kilotonnes,Other forest
2015,Panama,0,kilotonnes,Other forest
2016,Panama,0.0917,kilotonnes,Other forest
2017,Panama,0.0025,kilotonnes,Other forest
2018,Panama,0.0025,kilotonnes,Other forest
2019,Panama,0.0644,kilotonnes,Other forest
2011,Paraguay,2.7476,kilotonnes,Other forest
2012,Paraguay,0.8985,kilotonnes,Other forest
2013,Paraguay,2.1093,kilotonnes,Other forest
2014,Paraguay,0.5361,kilotonnes,Other forest
2015,Paraguay,0.5336,kilotonnes,Other forest
2016,Paraguay,1.4817,kilotonnes,Other forest
2017,Paraguay,7.1806,kilotonnes,Other forest
2018,Paraguay,1.8615,kilotonnes,Other forest
2019,Paraguay,13.472,kilotonnes,Other forest
2011,Peru,0.2924,kilotonnes,Other forest
2012,Peru,0.7509,kilotonnes,Other forest
2013,Peru,0.4981,kilotonnes,Other forest
2014,Peru,0.5031,kilotonnes,Other forest
2015,Peru,0.1983,kilotonnes,Other forest
2016,Peru,1.0482,kilotonnes,Other forest
2017,Peru,0.1462,kilotonnes,Other forest
2018,Peru,0.4956,kilotonnes,Other forest
2019,Peru,0.5081,kilotonnes,Other forest
2011,Suriname,0,kilotonnes,Other forest
2012,Suriname,0,kilotonnes,Other forest
2013,Suriname,0,kilotonnes,Other forest
2014,Suriname,0,kilotonnes,Other forest
2015,Suriname,0,kilotonnes,Other forest
2016,Suriname,0,kilotonnes,Other forest
2017,Suriname,0,kilotonnes,Other forest
2018,Suriname,0,kilotonnes,Other forest
2019,Suriname,0,kilotonnes,Other forest
2011,Trinidad and Tobago,0,kilotonnes,Other forest
2012,Trinidad and Tobago,0,kilotonnes,Other forest
2013,Trinidad and Tobago,0,kilotonnes,Other forest
2014,Trinidad and Tobago,0,kilotonnes,Other forest
2015,Trinidad and Tobago,0,kilotonnes,Other forest
2016,Trinidad and Tobago,0,kilotonnes,Other forest
2017,Trinidad and Tobago,0,kilotonnes,Other forest
2018,Trinidad and Tobago,0,kilotonnes,Other forest
2019,Trinidad and Tobago,0,kilotonnes,Other forest
2011,Uruguay,0.1542,kilotonnes,Other forest
2012,Uruguay,0.0025,kilotonnes,Other forest
2013,Uruguay,0.0025,kilotonnes,Other forest
2014,Uruguay,0.0025,kilotonnes,Other forest
2015,Uruguay,0.0174,kilotonnes,Other forest
2016,Uruguay,0.005,kilotonnes,Other forest
2017,Uruguay,0.0224,kilotonnes,Other forest
2018,Uruguay,0.0298,kilotonnes,Other forest
2019,Uruguay,0.1368,kilotonnes,Other forest
2011,Venezuela (Bolivarian Republic of),0.5674,kilotonnes,Other forest
2012,Venezuela (Bolivarian Republic of),0.4286,kilotonnes,Other forest
2013,Venezuela (Bolivarian Republic of),1.3851,kilotonnes,Other forest
2014,Venezuela (Bolivarian Republic of),2.0444,kilotonnes,Other forest
2015,Venezuela (Bolivarian Republic of),2.1062,kilotonnes,Other forest
2016,Venezuela (Bolivarian Republic of),3.8311,kilotonnes,Other forest
2017,Venezuela (Bolivarian Republic of),0.6666,kilotonnes,Other forest
2018,Venezuela (Bolivarian Republic of),1.5042,kilotonnes,Other forest
2019,Venezuela (Bolivarian Republic of),3.4742,kilotonnes,Other forest