mcf_waso_average_landfilled,mcf_waso_average_open_dump,frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage,physparam_wali_bo_tonne_ch4_tonne_bod,frac_waso_initial_composition_mun_metal,mcf_trww_treated_septic,ef_waso_incineration_kg_ch4_per_kg_msw,factor_waso_waste_per_capita_scalar_food,mcf_trww_treated_latrine_improved,frac_wali_ww_domestic_urban_treatment_path_septic,physparam_waso_k_wood,frac_waso_initial_composition_mun_nappies,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,physparam_wali_bo_tonne_ch4_tonne_cod,physparam_waso_k_rubber_leather,mcf_trww_treated_aerobic,physparam_waso_k_yard,physparam_waso_k_metal,physparam_waso_k_chemical_industrial,physparam_waso_k_food,mcf_trww_treated_latrine_unimproved,frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,physparam_waso_k_nappies,mcf_trww_treated_anaerobic,frac_waso_initial_composition_mun_glass,frac_waso_initial_composition_mun_other,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,frac_waso_initial_composition_mun_textiles,va_mining_mmm_usd,physparam_waso_k_textiles,va_manufacturing_mmm_usd,density_wali_kg_n_per_m3_ww_industrial,va_commercial_mmm_usd,frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,population_rural,physparam_waso_k_other,physparam_waso_k_sludge,frac_wali_ww_domestic_urban_treatment_path_latrine_improved,frac_waso_initial_composition_mun_plastic,physparam_waso_k_glass,param_wali_f_noncon,frac_waso_initial_composition_mun_food,area_country_ha,frac_waso_initial_composition_mun_wood,frac_waso_initial_composition_mun_rubber_leather,physparam_waso_k_paper,physparam_waso_k_plastic,frac_waso_initial_composition_mun_yard,va_industrial_mmm_usd,frac_wali_ww_domestic_rural_treatment_path_septic,population_urban,frac_waso_initial_composition_mun_paper,frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,country,year
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.416703543,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,1.3771286483152645,0.054,85.52516588325555,0.3,289.468787467848,0.10857142857142857,3679390.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,278040000.0,0.0,0.006,0.054,0.0,0.033,140.55095893916857,0.19999999999999998,38990109.0,0.124,0.13580246913580246,argentina,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.682456222,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.310078786009075,0.3,5.85226440484505,0.10857142857142857,64236.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,1388000.0,0.0015,0.003,0.054,0.0,0.0165,1.5426209523473189,0.19999999999999998,306388.0,0.125,0.13580246913580246,bahamas,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.282165923,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,0.5722121059660105,0.3,2.30115165431006,0.10857142857142857,195595.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,43000.0,0.0015,0.003,0.054,0.0,0.0165,1.1788985400134198,0.19999999999999998,89229.0,0.125,0.13580246913580246,barbados,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.206910307,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0,0.054,0.1478349221947986,0.3,0.8387260562740051,0.10857142857142857,193167.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2297000.0,0.003,0.0,0.054,0.0,0.0,0.2708344571665531,0.19999999999999998,160198.0,0.126,0.13580246913580246,belize,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.62300364,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,15.312253167655378,0.054,193.14486973758224,0.3,934.231643390935,0.10857142857142857,29416963.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,851577000.0,0.0,0.006,0.054,0.0,0.033,382.5204502981619,0.19999999999999998,173346780.0,0.124,0.13580246913580246,brazil,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.387238032,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,14.622267151021545,0.054,26.987213174594157,0.3,119.21314654586148,0.10857142857142857,2254856.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,75636444.44444445,0.0,0.006,0.054,0.0,0.033,73.99608735741842,0.19999999999999998,15504112.0,0.124,0.13580246913580246,chile,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.261818522,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,0.7541833506944936,0.054,34.97440201777551,0.3,142.52789025227202,0.10857142857142857,9668302.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,114174922.22222222,0.0,0.006,0.054,0.0,0.033,88.32696432577988,0.19999999999999998,37299403.0,0.124,0.13580246913580246,colombia,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.30687903,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0012507274236735,0.054,6.691160896982609,0.3,27.226620597453948,0.10857142857142857,1153722.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,5110000.0,0.003,0.0,0.054,0.0,0.0,11.22630096870064,0.19999999999999998,3641667.0,0.126,0.13580246913580246,costa_rica,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.385995243,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.6478087274361921,0.054,9.68137966330456,0.3,33.277288600312,0.10857142857142857,2269885.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,4867000.0,0.0015,0.003,0.054,0.0,0.0165,19.812671141878315,0.19999999999999998,7895296.0,0.125,0.13580246913580246,dominican_republic,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.328115114,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,0.088484566632809,0.054,13.653639238294184,0.3,49.5961534894056,0.10857142857142857,5860543.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,25637000.0,0.0,0.006,0.054,0.0,0.033,36.48176377111133,0.19999999999999998,10091288.0,0.124,0.13580246913580246,ecuador,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.169620244,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0,0.054,3.6797119346963303,0.3,11.44456789107415,0.10857142857142857,1959420.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,2104000.0,0.003,0.0,0.054,0.0,0.0,5.954273118762509,0.19999999999999998,4335703.0,0.126,0.13580246913580246,el_salvador,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.24010456,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.6175977218678044,0.054,8.409596045445877,0.3,29.870731913901903,0.10857142857142857,7709179.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,10889000.0,0.003,0.0,0.054,0.0,0.0,13.855668358435514,0.19999999999999998,7597136.0,0.126,0.13580246913580246,guatemala,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.23725,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,0.1742407114504859,0.054,0.2570016897043904,0.3,2.12530815252388,0.10857142857142857,561734.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,21497000.0,0.0,0.006,0.054,0.0,0.033,1.0368157370218205,0.19999999999999998,201636.0,0.124,0.13580246913580246,guyana,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.21294195,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.0,0.054,2.405063090080516,0.3,7.2312751707465,0.10857142857142857,5122175.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,2775000.0,0.0015,0.003,0.054,0.0,0.0165,3.843279585498045,0.19999999999999998,5426831.0,0.125,0.13580246913580246,haiti,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.365,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0533233122021844,0.054,3.4618732219978754,0.3,10.031747281668949,0.10857142857142857,4073534.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,11249000.0,0.003,0.0,0.054,0.0,0.0,4.917718771210175,0.19999999999999998,4882044.0,0.126,0.13580246913580246,honduras,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.0235,0.5,0.001,0.421793617,0.6,0.08024691358024691,0.028,0.008,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.0315,0.066,0.018518518518518517,0.0195,0.1539551280605158,0.054,1.142847143511614,0.3,7.029690282873901,0.10857142857142857,1305772.0,0.0,0.183,0.037037037037037035,0.12,0.0,1.04,0.584,1099000.0,0.0015,0.003,0.054,0.0,0.0165,2.5820264899400325,0.19999999999999998,1569364.0,0.125,0.13580246913580246,jamaica,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.26645,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,4.707426535879361,0.054,180.5647165144176,0.3,567.2532935914301,0.10857142857142857,25283003.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,196437666.66666666,0.003,0.0,0.054,0.0,0.0,357.258247499074,0.19999999999999998,95072133.0,0.126,0.13580246913580246,mexico,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.370917072,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.2195906583822913,0.054,1.793489723024448,0.3,6.08667459342265,0.10857142857142857,2598376.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,13037000.0,0.003,0.0,0.054,0.0,0.0,3.055323060122435,0.19999999999999998,3544357.0,0.126,0.13580246913580246,nicaragua,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.027,0.5,0.001,0.269803236,0.6,0.08024691358024691,0.028,0.0,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.033,0.06,0.018518518518518517,0.022,0.0365377578612271,0.054,3.3794442537492566,0.3,25.5794653680035,0.10857142857142857,1311971.0,0.0,0.183,0.037037037037037035,0.103,0.0,1.04,0.627,7535333.333333333,0.003,0.0,0.054,0.0,0.0,12.96551862025359,0.19999999999999998,2589339.0,0.126,0.13580246913580246,panama,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.27390703,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,0.0,0.054,6.6007779995353,0.3,17.58565193997295,0.10857142857142857,2608527.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,40675200.0,0.0,0.006,0.054,0.0,0.033,11.70513879745678,0.19999999999999998,3990996.0,0.124,0.13580246913580246,paraguay,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.267493305,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,7.831283948337631,0.054,25.661665906285457,0.3,91.913401621625,0.10857142857142857,6868729.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,128522000.0,0.0,0.006,0.054,0.0,0.033,58.27567743529144,0.19999999999999998,23221642.0,0.124,0.13580246913580246,peru,8
0.66,0.5,0.4628571428571429,0.48148148148148145,0.6,0.02,0.5,0.001,0.367221452,0.6,0.08024691358024691,0.028,0.019,0.14285714285714285,0.25,0.0,0.15,0.096,0.0,0.094,0.183,0.1,0.08571428571428572,0.096,0.8,0.03,0.072,0.018518518518518517,0.017,0.0213525058755117,0.054,6.445364117150191,0.3,26.53876196922755,0.10857142857142857,171892.0,0.0,0.183,0.037037037037037035,0.137,0.0,1.04,0.541,17622000.0,0.0,0.006,0.054,0.0,0.033,13.110488718395654,0.19999999999999998,3228546.0,0.124,0.13580246913580246,uruguay,8
